"1QB Rank","SF/TE Prem","Player","Team","Position","Age","1QB Pos Rk","SF/TE Pr Pos Rk","Status","Notes"
"38","1","Patrick Mahomes","KC","QB","27.8","QB01","QB01","Veteran","Best QB in the NFL, but not as much of a rush threat as Allen."
"41","2","Josh Allen","BUF","QB","27.1","QB02","QB02","Veteran","Pass-heavy attack built around Allen should be strong for years to come."
"44","3","Jalen Hurts","PHI","QB","24.9","QB03","QB03","Veteran","Breakout year in 2022 -- should have long-term stability in Philly with a great supporting cast."
"52","4","Lamar Jackson","BAL","QB","26.5","QB04","QB04","Veteran","Big extension keeps Lamar in Baltimore with more weapons and Todd Monken."
"58","5","Joe Burrow","CIN","QB","26.6","QB05","QB05","Veteran","Elite young supporting cast -- group should be together for a long time."
"60","6","Justin Herbert","LAC","QB","25.3","QB06","QB06","Veteran","Generally considered a top talent, but needs more help."
"66","7","Trevor Lawrence","JAC","QB","23.7","QB07","QB07","Veteran","Looked the part of his draft capital in the second half of 2022. Gets Ridley starting 2023."
"1","8","Justin Jefferson","MIN","WR","24.5","WR01","WR01","Veteran","Somehow continues to get better every year."
"2","9","Ja'Marr Chase","CIN","WR","23.3","WR02","WR02","Veteran","Paired with his college teammate gives high floor and ceiling each year."
"74","10","Justin Fields","CHI","QB","24.3","QB08","QB08","Veteran","Elite rush threat, now with added weaponry."
"87","11","Anthony Richardson","IND","QB","21.1","QB09","QB09","Rookie","Most athletic QB prospect of all-time. Lands in the nut spot in Indy."
"89","12","Deshaun Watson","CLE","QB","27.8","QB10","QB10","Veteran","Looked lost after not playing for nearly two years, tentatively still expecting improvement after a full off-season."
"98","13","Kyler Murray","ARI","QB","25.9","QB11","QB11","Veteran","A little worried he ends up missing all of 2023, but coaching moves seem like an upgrade for whenever he is healthy."
"104","14","Dak Prescott","DAL","QB","29.9","QB12","QB12","Veteran","Offense was inconsistent in 2022, but Dak started running a little more down the stretch."
"3","15","A.J. Brown","PHI","WR","26.0","WR03","WR03","Veteran","Definition of alpha, immense weekly ceiling."
"4","16","Jaylen Waddle","MIA","WR","24.6","WR04","WR04","Veteran","Dolphins were PROE masters in Year 1 with McDaniels, but may have QB concerns."
"5","17","Garrett Wilson","NYJ","WR","22.9","WR05","WR05","Veteran","Over 1,100 yards as a rookie, now Rodgers throwing the ball."
"6","18","CeeDee Lamb","DAL","WR","24.2","WR06","WR06","Veteran","Extremely strong close to 2022 -- definitely has made the leap to elite status."
"7","19","Amon-Ra St. Brown","DET","WR","23.7","WR07","WR07","Veteran","Volume hog with an elite profile. Goff provides strong QB play floor."
"8","20","Drake London","ATL","WR","21.9","WR08","WR08","Veteran","Displayed alpha ability late once Atlanta started throwing more."
"9","21","Chris Olave","NO","WR","23.0","WR09","WR09","Veteran","7th in YPRR as a rookie -- Carr a major QB improvement."
"10","22","Tee Higgins","CIN","WR","24.5","WR10","WR10","Veteran","More of a 1B than a 2 -- 2023 a contract year."
"11","23","DeVonta Smith","PHI","WR","24.6","WR11","WR11","Veteran","Only 9 less targets than AJB in their first full seasons together."
"12","24","Bijan Robinson","ATL","RB","21.4","RB01","RB01","Rookie","Best RB prospect since Barkley. Likely instant impact player with high dynasty value."
"119","25","Bryce Young","CAR","QB","21.9","QB13","QB13","Rookie","Size a huge concern, but was a baller at Bama. Likely overrated right now as a rusher."
"121","26","C.J. Stroud","HOU","QB","21.7","QB14","QB14","Rookie","Could develop into a bigger rushing threat, Houston a bit dysfunctional at the moment."
"127","27","Tua Tagovailoa","MIA","QB","25.3","QB15","QB15","Veteran","Would be a round higher if there weren't concussion concerns."
"24","28","Kyle Pitts","ATL","TE","22.7","TE01","TE01","Veteran","2022 was a lost season, but team is bound to throw more in 2023 with Ridder or Heinicke."
"29","29","Mark Andrews","BAL","TE","27.8","TE02","TE02","Veteran","Offense could develop to me more pass-heavy with Monken."
"13","30","Tyreek Hill","MIA","WR","29.3","WR12","WR12","Veteran","Insane volume in 2022, but entering age 29 season with QB questions."
"14","31","Stefon Diggs","BUF","WR","29.6","WR13","WR13","Veteran","Still in an elite pairing with Allen -- turns 30 next season."
"15","32","Davante Adams","LV","WR","30.5","WR14","WR14","Veteran","Jimmy G doesn't feel like the optimal pairing, but far from a bad one."
"16","33","Cooper Kupp","LAR","WR","30.0","WR15","WR15","Veteran","Coming off of another major injury with plenty of structural question marks in LA."
"17","34","Breece Hall","NYJ","RB","22.1","RB02","RB02","Veteran","Even with conservative 2023 inputs Hall seems likely to smash -- injury prognostication has been positive."
"139","35","Daniel Jones","NYG","QB","26.1","QB16","QB16","Veteran","Top-10 fantasy QB with practice squad receiving talents. Contract should keep him in NY for at least two seasons."
"18","36","Jonathan Taylor","IND","RB","24.4","RB03","RB03","Veteran","Will return to an elite rushing threat under center and an improved OL."
"19","37","Christian McCaffrey","SF","RB","27.1","RB04","RB04","Veteran","Playing in San Fran should add years to CMC's dominance."
"20","38","Jahmyr Gibbs","DET","RB","21.3","RB05","RB05","Rookie","Went higher than expected in the draft, and lands in an awesome offense indoors."
"21","39","DK Metcalf","SEA","WR","25.5","WR16","WR16","Veteran","Continues to produce, will be interesting to see target distribution for 2023."
"22","40","Treylon Burks","TEN","WR","23.3","WR17","WR17","Veteran","Some better QB stability in 2023 should be great for Burks, who was impressive in limited action."
"23","41","Jaxon Smith-Njigba","SEA","WR","21.4","WR18","WR18","Rookie","Intuitively a high-end prospect. Seattle could throw more than expected to his benefit."
"43","42","Dalton Kincaid","BUF","TE","23.7","TE03","TE03","Rookie","Has a chance to see immediate volume as Buffalo's slot receiver."
"45","43","T.J. Hockenson","MIN","TE","26.0","TE04","TE04","Veteran","Has seen elite volume with the Vikings and will be entering his age 26 season in 2023."
"51","44","2024 1st Round Draft Pick","NFL","Pick",,"Pick01","Pick01","Pick","Next year's class has some elite talents worth trying to acquire."
"160","45","Will Levis","TEN","QB","24.0","QB17","QB17","Rookie","Ostensibly a first-round pick. Should add value as a runner whenever he gets in the lineup."
